"year","month","day","owli","owlt","dir","zyk950","zyk500","hum","ts","time"
1979,8,27,35,"NWZZT","'NW'","'Z'","'Z'","'T'",1979.6976,"1979-8-27 00:00:00"
1979,8,28,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.7003,"1979-8-28 00:00:00"
1979,8,29,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.7031,"1979-8-29 00:00:00"
1979,8,30,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.7058,"1979-8-30 00:00:00"
1979,8,31,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.7086,"1979-8-31 00:00:00"
1979,9,1,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.7097,"1979-9-1 00:00:00"
1979,9,2,29,"SWZAF","'SW'","'Z'","'A'","'F'",1979.7124,"1979-9-2 00:00:00"
1979,9,3,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.7152,"1979-9-3 00:00:00"
1979,9,4,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.7179,"1979-9-4 00:00:00"
1979,9,5,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.7207,"1979-9-5 00:00:00"
1979,9,6,6,"XXAAF","'XX'","'A'","'A'","'F'",1979.7234,"1979-9-6 00:00:00"
1979,9,7,26,"XXZAF","'XX'","'Z'","'A'","'F'",1979.7261,"1979-9-7 00:00:00"
1979,9,8,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.7289,"1979-9-8 00:00:00"
1979,9,9,30,"NWZAF","'NW'","'Z'","'A'","'F'",1979.7316,"1979-9-9 00:00:00"
1979,9,10,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.7344,"1979-9-10 00:00:00"
1979,9,11,10,"NWAAF","'NW'","'A'","'A'","'F'",1979.7371,"1979-9-11 00:00:00"
1979,9,12,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.7398,"1979-9-12 00:00:00"
1979,9,13,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.7426,"1979-9-13 00:00:00"
1979,9,14,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.7453,"1979-9-14 00:00:00"
1979,9,15,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.7481,"1979-9-15 00:00:00"
1979,9,16,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.7508,"1979-9-16 00:00:00"
1979,9,17,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.7535,"1979-9-17 00:00:00"
1979,9,18,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.7563,"1979-9-18 00:00:00"
1979,9,19,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.759,"1979-9-19 00:00:00"
1979,9,20,29,"SWZAF","'SW'","'Z'","'A'","'F'",1979.7618,"1979-9-20 00:00:00"
1979,9,21,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.7645,"1979-9-21 00:00:00"
1979,9,22,11,"XXAZT","'XX'","'A'","'Z'","'T'",1979.7672,"1979-9-22 00:00:00"
1979,9,23,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.77,"1979-9-23 00:00:00"
1979,9,24,11,"XXAZT","'XX'","'A'","'Z'","'T'",1979.7727,"1979-9-24 00:00:00"
1979,9,25,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.7755,"1979-9-25 00:00:00"
1979,9,26,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.7782,"1979-9-26 00:00:00"
1979,9,27,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.7809,"1979-9-27 00:00:00"
1979,9,28,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.7837,"1979-9-28 00:00:00"
1979,9,29,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.7864,"1979-9-29 00:00:00"
1979,9,30,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.7892,"1979-9-30 00:00:00"
1979,10,1,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.793,"1979-10-1 00:00:00"
1979,10,2,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.7958,"1979-10-2 00:00:00"
1979,10,3,24,"SWZAT","'SW'","'Z'","'A'","'T'",1979.7985,"1979-10-3 00:00:00"
1979,10,4,29,"SWZAF","'SW'","'Z'","'A'","'F'",1979.8013,"1979-10-4 00:00:00"
1979,10,5,26,"XXZAF","'XX'","'Z'","'A'","'F'",1979.804,"1979-10-5 00:00:00"
1979,10,6,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.8067,"1979-10-6 00:00:00"
1979,10,7,24,"SWZAT","'SW'","'Z'","'A'","'T'",1979.8095,"1979-10-7 00:00:00"
1979,10,8,4,"SWAAT","'SW'","'A'","'A'","'T'",1979.8122,"1979-10-8 00:00:00"
1979,10,9,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.815,"1979-10-9 00:00:00"
1979,10,10,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.8177,"1979-10-10 00:00:00"
1979,10,11,9,"SWAAF","'SW'","'A'","'A'","'F'",1979.8204,"1979-10-11 00:00:00"
1979,10,12,28,"SOZAF","'SO'","'Z'","'A'","'F'",1979.8232,"1979-10-12 00:00:00"
1979,10,13,29,"SWZAF","'SW'","'Z'","'A'","'F'",1979.8259,"1979-10-13 00:00:00"
1979,10,14,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.8287,"1979-10-14 00:00:00"
1979,10,15,38,"SOZZF","'SO'","'Z'","'Z'","'F'",1979.8314,"1979-10-15 00:00:00"
1979,10,16,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1979.8341,"1979-10-16 00:00:00"
1979,10,17,19,"SWAZF","'SW'","'A'","'Z'","'F'",1979.8369,"1979-10-17 00:00:00"
1979,10,18,15,"NWAZT","'NW'","'A'","'Z'","'T'",1979.8396,"1979-10-18 00:00:00"
1979,10,19,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.8424,"1979-10-19 00:00:00"
1979,10,20,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.8451,"1979-10-20 00:00:00"
1979,10,21,5,"NWAAT","'NW'","'A'","'A'","'T'",1979.8478,"1979-10-21 00:00:00"
1979,10,22,12,"NOAZT","'NO'","'A'","'Z'","'T'",1979.8506,"1979-10-22 00:00:00"
1979,10,23,2,"NOAAT","'NO'","'A'","'A'","'T'",1979.8533,"1979-10-23 00:00:00"
1979,10,24,1,"XXAAT","'XX'","'A'","'A'","'T'",1979.8561,"1979-10-24 00:00:00"
1979,10,25,3,"SOAAT","'SO'","'A'","'A'","'T'",1979.8588,"1979-10-25 00:00:00"
1979,10,26,23,"SOZAT","'SO'","'Z'","'A'","'T'",1979.8615,"1979-10-26 00:00:00"
1979,10,27,23,"SOZAT","'SO'","'Z'","'A'","'T'",1979.8643,"1979-10-27 00:00:00"
1979,10,28,23,"SOZAT","'SO'","'Z'","'A'","'T'",1979.867,"1979-10-28 00:00:00"
1979,10,29,31,"XXZZT","'XX'","'Z'","'Z'","'T'",1979.8697,"1979-10-29 00:00:00"
